1, Liam Smith, M, 28, USA, Boston, 02:23:45
98, Madeline Wallace, F, 39, USA, Nashville, 03:04:12
99, Justin Woods, M, 32, Mexico, Juarez, 02:34:59
100, Caroline West, F, 28, Germany, Dortmund, 02:59:47
101, Austin Cole, M, 42, Canada, Victoria, 02:40:33
102, Gabriella Murray, F, 36, UK, Southampton, 03:06:28
103, Juan Freeman, M, 34, France, Grenoble, 02:32:19
104, Vanessa Wells, F, 41, Australia, Sunshine Coast, 02:55:37
105, Charles Webb, M, 47, Spain, Palma, 02:43:12
106, Lillian Simpson, F, 30, Italy, Verona, 03:01:18
107, Louis Stevens, M, 37, USA, St. Louis, 02:29:28
108, Molly Tucker, F, 44, Mexico, Guadalajara, 02:58:46
109, Henry Porter, M, 26, UK, Cardiff, 02:23:54
110, Audrey Hicks, F, 33, Canada, Regina, 03:07:52
111, Carl Crawford, M, 45, Germany, Hannover, 02:39:41
112, Eliana Henry, F, 29, France, Dijon, 02:56:23
113, Jeremy Boyd, M, 39, Australia, Geelong, 02:31:56
114, Brianna Mason, F, 42, Spain, Murcia, 03:03:34
115, Keith Morales, M, 35, Italy, Catania, 02:27:48
116, Sadie Kennedy, F, 38, USA, Indianapolis, 02:59:14
117, Bradley Butler, M, 48, Mexico, Puebla, 02:44:29
118, Katherine Bell, F, 31, UK, Leicester, 03:05:47
119, Russell Dixon, M, 41, Canada, Saskatoon, 02:37:33
120, Alyssa Fisher, M, 34, Germany, Nuremberg, 02:30:28
121, Bryan Reyes, M, 36, France, Le Havre, 02:35:18
122, Margaret Ellis, F, 39, Australia, Townsville, 02:57:55
123, Shaun Edwards, M, 44, Spain, Oviedo, 02:42:08
124, Melody Collins, F, 27, Italy, Venice, 03:00:31
125, Mark Richardson, M, 50, USA, Columbus, 02:48:54
126, Rose Stewart, F, 35, Mexico, Monterrey, 02:54:12
127, Alan Morris, M, 38, UK, Coventry, 02:33:40
128, Sydney Rogers, F, 43, Canada, Kelowna, 03:06:59
129, Vincent Reed, M, 32, Germany, Bochum, 02:29:09
130, Teagan Cook, F, 30, France, Reims, 02:58:33
131, Evan Morgan, M, 46, Australia, Cairns, 02:41:17
132, Melissa Bell, F, 37, Spain, Santander, 03:02:14
133, Devin Murphy, M, 41, Italy, Trieste, 02:36:42
134, Arianna Bailey, F, 33, USA, Philadelphia, 02:55:49
135, Marcus Rivera, M, 44, Mexico, Toluca, 02:38:56
136, Kate Cooper, F, 29, UK, Bradford, 03:04:28
137, Travis Cox, M, 39, Canada, Abbotsford, 02:32:07
138, Sophie Howard, M, 42, Germany, Wuppertal, 02:47:35
139, Derek Ward, M, 48, France, Saint-Etienne, 02:43:50
140, Payton Torres, F, 36, Australia, Albury, 02:59:22
141, George Peterson, M, 51, Spain, Badajoz, 02:49:43
142, Jocelyn Gray, F, 34, Italy, Modena, 03:01:55
143, Troy Ramirez, M, 40, Mexico, Leon, 02:34:28
144, Kimberly James, F, 45, USA, San Antonio, 02:57:11
145, Brett Watson, M, 37, UK, Hull, 02:28:54
146, Lucy Brooks, F, 41, Canada, Sudbury, 03:05:39
147, Shane Kelly, M, 43, Germany, Bielefeld, 02:39:23
148, Marissa Sanders, F, 32, France, Toulon, 02:56:47
149, Cory Price, M, 47, Australia, Launceston, 02:45:38
150, Bianca Bennett, F, 39, Spain, Gijon, 03:00:18
151, Edgar Wood, M, 35, Italy, Parma, 02:31:32
152, Fiona Barnes, F, 44, USA, San Diego, 02:58:52
153, Phillip Ross, M, 42, Mexico, Queretaro, 02:37:15
154, Gabrielle Henderson, F, 30, UK, Stoke-on-Trent, 03:03:49
155, Derrick Coleman, M, 49, Canada, Kingston, 02:46:29
156, Ashlyn Jenkins, F, 38, Germany, Mannheim, 02:54:36
157, Franklin Perry, M, 45, France, Nancy, 02:41:44
158, Heidi Long, M, 36, Australia, Bendigo, 02:33:59
159, Terrance Patterson, M, 52, Spain, Cartagena, 02:50:12
160, Miranda Hughes, F, 41, Italy, Ravenna, 03:02:48
161, Marvin Flores, M, 44, USA, Jacksonville, 02:38:37
162, Christina Washington, F, 35, Mexico, Cancun, 02:55:24
163, Dustin Butler, M, 48, UK, Wolverhampton, 02:42:55
164, Lindsay Simmons, F, 43, Canada, Barrie, 03:06:17
165, Marc Foster, M, 39, Germany, Bonn, 02:29:48
166, Cassandra Gonzales, F, 46, France, Clermont-Ferrand, 02:59:03
167, Rick Bryant, M, 50, Australia, Rockhampton, 02:44:41
168, Natalie Alexander, F, 37, Spain, Almeria, 03:01:29
169, Joel Russell, M, 42, Italy, Ferrara, 02:35:14
170, Alexa Griffin, F, 45, USA, Fort Worth, 02:57:36
171, Edwin Diaz, M, 47, Mexico, Mexicali, 02:43:22
172, Camila Hayes, F, 40, UK, Reading, 03:04:55
173, Jon Myers, M, 53, Canada, Sherbrooke, 02:48:07
174, Jade Ford, F, 36, Germany, Karlsruhe, 02:56:41
175, Derek Hamilton, M, 49, France, Brest, 02:40:59
176, Jazmin Graham, F, 44, Australia, Mackay, 03:03:27
177, Erik Sullivan, M, 51, Spain, Huelva, 02:49:33
178, Nina Wallace, F, 42, Italy, Salerno, 02:58:18
179, Casey Woods, M, 48, USA, Memphis, 02:39:15
180, Tessa Cole, F, 47, Mexico, Culiacan, 03:05:48
181, Ruben Murray, M, 55, UK, Derby, 02:51:24
182, Adriana Freeman, F, 39, Canada, Richmond, 02:57:12
183, Seth Wells, M, 46, Germany, Wiesbaden, 02:44:33
184, Macie Webb, M, 43, France, Amiens, 02:38:49
185, Claude Simpson, M, 54, Australia, Toowoomba, 02:46:55
186, Aniyah Tucker, F, 41, Spain, Lleida, 03:01:44
187, Marshall Porter, M, 50, Italy, Rimini, 02:42:37
188, Evangeline Hicks, F, 48, USA, Baltimore, 02:59:26
189, Wade Crawford, M, 56, Mexico, Acapulco, 02:50:18
190, Joy Henry, F, 44, UK, Plymouth, 03:04:29
191, Leonardo Boyd, M, 52, Canada, Oshawa, 02:47:42
192, Annalise Mason, F, 50, Germany, Munster, 02:58:59
193, Blake Morales, M, 57, France, Limoges, 02:52:13
194, Evie Kennedy, F, 46, Australia, Darwin, 03:02:56
195, Terry Butler, M, 60, Spain, Tarragona, 02:54:47
196, Phoebe Bell, F, 52, Italy, Bergamo, 03:00:38
197, Morgan Dixon, M, 59, USA, Milwaukee, 02:49:21
198, Ada Fisher, F, 55, Mexico, Chihuahua, 03:07:14
199, Jermaine Reyes, M, 63, UK, Brighton, 02:56:33
200, Thea Ellis, F, 58, Canada, St. Catharines, 03:09:47
201, Fernando Edwards, M, 65, Germany, Monchengladbach, 02:58:26
202, Willa Collins, F, 61, France, Villeurbanne, 03:11:52
203, Chad Richardson, M, 68, Australia, Ballarat, 03:02:11
204, Jada Stewart, F, 64, Spain, Sabadell, 03:13:45
205, Alvin Morris, M, 70, Italy, Brescia, 03:05:29
206, Amira Rogers, F, 66, USA, Albuquerque, 03:15:38
207, Lee Reed, M, 69, Mexico, Hermosillo, 03:07:52
208, Maliyah Cook, F, 71, UK, Bolton, 03:18:24
209, Glen Morgan, M, 72, Canada, Guelph, 03:10:16
210, Saylor Bell, F, 68, Germany, Braunschweig, 03:16:43
211, Kirk Murphy, M, 74, France, Besancon, 03:12:59
212, Zariyah Bailey, F, 70, Australia, Wagga Wagga, 03:19:37
213, Guy Rivera, M, 76, Spain, Alcala de Henares, 03:14:28
214, Ember Cooper, F, 73, Italy, Prato, 03:21:55
215, Malcolm Cox, M, 78, USA, Tucson, 03:17:34
216, Nylah Howard, F, 75, Mexico, Saltillo, 03:23:48
217, Grant Ward, M, 80, UK, Milton Keynes, 03:20:19
218, Lyric Torres, F, 77, Canada, Red Deer, 03:25:07
219, Rory Peterson, M, 82, Germany, Chemnitz, 03:22:53
220, Lainey Gray, F, 79, France, Orleans, 03:27:36
221, Warren Ramirez, M, 85, Australia, Shepparton, 03:25:44
222, Iliana James, F, 81, Spain, Jerez, 03:30:18
223, Zander Watson, M, 87, Italy, Terni, 03:28:32
224, Kelsey Brooks, F, 83, USA, Fresno, 03:33:27
225, Sterling Kelly, M, 90, Mexico, Morelia, 03:31:49
226, Zariah Sanders, F, 86, UK, Wigan, 03:36:15
227, Frank Price, M, 92, Canada, Kamloops, 03:34:38
228, Jayleen Bennett, F, 88, Germany, Bremerhaven, 03:39:22
229, Rex Wood, M, 94, France, Perpignan, 03:37:56
230, Kaiya Barnes, F, 90, Australia, Mildura, 03:42:48
231, Lance Ross, M, 96, Spain, Burgos, 03:41:07
232, Malia Henderson, F, 92, Italy, Livorno, 03:45:33
233, Toby Coleman, M, 98, USA, Sacramento, 03:44:19
234, Celeste Jenkins, F, 94, Mexico, Torreon, 03:48:27
235, Harold Perry, M, 100, UK, Oxford, 03:47:52
236, Laurel Long, F, 96, Canada, Nanaimo, 03:51:44
237, Rodrigo Patterson, M, 102, Germany, Halle, 03:50:35
238, Milana Hughes, F, 98, France, Avignon, 03:55:18
239, Rene Flores, M, 104, Australia, Dubbo, 03:54:06
240, Novah Washington, F, 100, Spain, Salamanca, 03:58:42
241, Julian Butler, M, 106, Italy, Forli, 03:57:29
242, Bellamy Simmons, F, 102, USA, Long Beach, 04:01:55
243, Jared Foster, M, 108, Mexico, Ensenada, 04:00:47
244, Alani Gonzales, F, 104, UK, Norwich, 04:04:33
245, Ernesto Bryant, M, 110, Canada, Lethbridge, 04:03:21
246, Ellen Alexander, F, 106, Germany, Rostock, 04:07:49
247, Rocco Russell, M, 112, France, Caen, 04:06:38
248, Kennedi Griffin, F, 108, Australia, Nowra, 04:10:52
249, Keegan Diaz, M, 114, Spain, Logrono, 04:09:44
250, Hallie Hayes, F, 110, Italy, Monza, 04:13:27
251, Quincy Ford, M, 116, USA, Mesa, 04:12:19
252, Charleigh Hamilton, F, 112, Mexico, Colima, 04:16:05
253, Randy Graham, M, 118, UK, Aberdeen, 04:15:43
254, Adrienne Sullivan, F, 114, Canada, Belleville, 04:19:38
255, Raul Wallace, M, 120, Germany, Krefeld, 04:18:56
256, Kora Woods, F, 116, France, Boulogne-Billancourt, 04:22:47
257, Nolan Cole, M, 122, Australia, Orange, 04:21:35
258, Brylee Murray, F, 118, Spain, Castello, 04:25:28
259, Myles Freeman, M, 124, Italy, Latina, 04:24:16
260, Itzel Wells, F, 120, USA, Kansas City, 04:28:03
261, Kian Webb, M, 126, Mexico, Manzanillo, 04:27:41
262, Jemma Simpson, M, 122, UK, Luton, 04:31:15
263, Tate Tucker, M, 128, Canada, Medicine Hat, 04:30:29
264, Oaklyn Porter, F, 124, Germany, Oberhausen, 04:34:37
265, Roy Hicks, M, 130, France, Nancy, 04:33:52
266, Annabella Crawford, F, 126, Australia, Whyalla, 04:37:44
267, Sterling Henry, M, 132, Spain, Girona, 04:36:38
268, Lorelei Boyd, F, 128, Italy, Cagliari, 04:40:51
269, Braylen Mason, M, 134, USA, Virginia Beach, 04:39:46
270, Maren Morales, F, 130, Mexico, Pachuca, 04:43:59
271, Dion Kennedy, M, 136, UK, Islington, 04:43:08
272, Kamilah Butler, F, 132, Canada, White Rock, 04:47:23
273, Kobe Bell, M, 138, Germany, Hagen, 04:46:41
274, Tegan Dixon, F, 134, France, Argenteuil, 04:50:28
275, Conrad Fisher, M, 140, Australia, Mount Gambier, 04:49:56
276, Armani Reyes, F, 136, Spain, Santiago, 04:53:49
277, Jerry Ellis, M, 142, Italy, Vicenza, 04:52:57
278, Jaslyn Edwards, F, 138, USA, Oakland, 04:56:35
279, Kenny Collins, M, 144, Mexico, Tepic, 04:55:49
280, Elora Stewart, F, 140, UK, Swindon, 04:59:28
281, Remy Morris, M, 146, Canada, Brantford, 04:58:42
282, Zola Rogers, M, 142, Germany, Hamm, 05:02:17
283, Kyrie Reed, M, 148, France, Saint-Denis, 05:01:33
284, Anya Cook, F, 144, Australia, Port Macquarie, 05:05:49
285, Kyson Morgan, M, 150, Spain, Vigo, 05:05:08
286, Paola Bell, F, 146, Italy, Ancona, 05:09:24
287, Casen Murphy, M, 152, USA, Minneapolis, 05:08:42
288, Samara Bailey, F, 148, Mexico, La Paz, 05:12:58
289, Korbin Rivera, M, 154, UK, Crawley, 05:12:19
290, Romina Cooper, F, 150, Canada, Grande Prairie, 05:16:36
291, Kael Cox, M, 156, Germany, Herne, 05:15:54
292, Rayna Howard, F, 152, France, Tourcoing, 05:20:11
293, Zayn Ward, M, 158, Australia, Warrnambool, 05:19:29
294, Aviana Torres, F, 154, Spain, San Sebastian, 05:23:47
295, Blaine Peterson, M, 160, Italy, Pesaro, 05:23:05
296, Kaia Gray, F, 156, USA, Tulsa, 05:27:23
297, Bronson Ramirez, M, 162, Mexico, Zacatecas, 05:26:42
298, Emberly James, F, 158, UK, Walsall, 05:31:00
299, Crue Watson, M, 164, Canada, Peterborough, 05:30:18
300, Kyndall Brooks, F, 160, Germany, Ludwigshafen, 05:34:37
301, Aldo Kelly, M, 166, France, Montreuil, 05:33:55
302, Emelia Sanders, F, 162, Australia, Devonport, 05:38:14
303, Elian Price, M, 168, Spain, Leon, 05:37:33
304, Amayah Bennett, F, 164, Italy, Andria, 05:41:52
305, Franco Wood, M, 170, USA, Wichita, 05:41:11
306, Keilani Barnes, F, 166, Mexico, Cuernavaca, 05:45:31
307, Karsyn Ross, M, 172, UK, Solihull, 05:44:49
308, Emeri Henderson, F, 168, Canada, Saint-Jean-sur-Richelieu, 05:49:10
309, Leonel Coleman, M, 174, Germany, Oldenburg, 05:48:28
310, Evalyn Jenkins, F, 170, France, Nanterre, 05:52:50
311, Zechariah Perry, M, 176, Australia, Sale, 05:52:08
312, Elliana Long, M, 172, Spain, Cadiz, 05:56:31
313, Dax Patterson, M, 178, Italy, Pescara, 05:55:49
314, Ansley Hughes, F, 174, USA, New Orleans, 06:00:12
315, Tripp Flores, M, 180, Mexico, Ciudad Victoria, 05:59:31
316, Rylan Washington, M, 176, UK, Rochdale, 06:03:55
317, Malaysia Butler, F, 178, Canada, Fredericton, 06:03:13
318, Brentley Simmons, M, 182, Germany, Osnabruck, 06:07:37
319, Novalee Foster, F, 180, France, Vitry-sur-Seine, 06:06:56
320, Kace Gonzales, M, 184, Australia, Kalgoorlie, 06:11:20
321, Collins Bryant, M, 182, Spain, Albacete, 06:10:39
322, Keily Alexander, F, 186, Italy, Piacenza, 06:15:04
323, Kylan Russell, M, 188, USA, Cleveland, 06:14:22
324, Zaylee Griffin, F, 184, Mexico, Durango, 06:18:48
325, Ayan Diaz, M, 190, UK, Basildon, 06:18:06
326, Ellison Hayes, F, 186, Canada, Drummondville, 06:22:32
327, Brent Ford, M, 192, Germany, Leverkusen, 06:21:51
328, Lilliana Hamilton, F, 188, France, Avignon, 06:26:18
329, Kairo Graham, M, 194, Australia, Burnie, 06:25:36
330, Ayleen Sullivan, F, 190, Spain, Getafe, 06:30:04
331, Kohen Wallace, M, 196, Italy, Reggio Calabria, 06:29:22
332, Amani Woods, F, 192, USA, Santa Clarita, 06:33:50
333, Reyansh Cole, M, 198, Mexico, Tlaquepaque, 06:33:09
334, Arlet Murray, F, 194, UK, Bath, 06:37:38
335, Yosef Freeman, M, 200, Canada, North Bay, 06:36:56
336, Cali Wells, F, 196, Germany, Neuss, 06:41:26
337, Eithan Webb, M, 202, France, Clichy, 06:40:44
338, Jaycee Simpson, F, 198, Australia, Coffs Harbour, 06:45:15
339, Jakobe Tucker, M, 204, Spain, Ourense, 06:44:33
340, Dayana Porter, F, 200, Italy, Modena, 06:49:05
341, Kye Hicks, M, 206, USA, Irvine, 06:48:23
342, Ailani Crawford, F, 202, Mexico, San Luis Potosi, 06:52:56
343, Kannon Henry, M, 208, UK, Worthing, 06:52:14
344, Mckinley Boyd, F, 204, Canada, Moncton, 06:56:48
345, Erick Mason, M, 210, Germany, Heidelberg, 06:56:06
346, Tinsley Morales, F, 206, France, Colombes, 07:00:41
347, Kenji Kennedy, M, 212, Australia, Gladstone, 06:59:59
348, Karter Butler, F, 208, Spain, Alcorcon, 07:04:35
349, Adonis Bell, M, 214, Italy, Rimini, 07:03:53
350, Veda Dixon, F, 210, USA, Huntsville, 07:08:30
351, Kyro Fisher, M, 216, Mexico, Aguascalientes, 07:07:48
352, Rayna Reyes, F, 212, UK, Southend-on-Sea, 07:12:26
353, Ayaan Ellis, M, 218, Canada, Chilliwack, 07:11:44
354, Ensley Edwards, F, 214, Germany, Darmstadt, 07:16:23
355, Maxton Collins, M, 220, France, Poitiers, 07:15:41
356, Ensley Stewart, M, 216, Australia, Hervey Bay, 07:20:21
357, Braxton Morris, M, 222, Spain, Leganes, 07:19:39
358, Ryann Rogers, M, 218, Italy, Biella, 07:24:20
359, Jakari Reed, M, 224, USA, Rochester, 07:23:38
360, Milani Cook, F, 220, Mexico, Xalapa, 07:28:20
361, Jakai Morgan, M, 226, UK, Poole, 07:27:38
362, Nala Bell, F, 222, Canada, Courtenay, 07:32:21
363, Kamdyn Murphy, M, 228, Germany, Wurzburg, 07:31:39
364, Ayleen Bailey, F, 224, France, Courbevoie, 07:36:23
365, Kaelen Rivera, M, 230, Australia, Traralgon, 07:35:41
366, Sevyn Cooper, M, 226, Spain, Fuengirola, 07:40:26
367, Vihaan Cox, M, 232, Italy, Lecco, 07:39:44
368, Emeri Howard, F, 228, USA, Erie, 07:44:30
369, Lian Ward, M, 234, Mexico, Tuxtla Gutierrez, 07:43:48
370, Alanna Torres, F, 230, Canada, Brandon, 07:48:35
371, Omari Peterson, M, 236, UK, Chelmsford, 07:47:53
372, Collins Gray, M, 232, Germany, Regensburg, 07:52:41
373, Magnus Ramirez, M, 238, France, Neuilly-sur-Seine, 07:51:59
374, Adley James, F, 234, Australia, Tamworth, 07:56:48
375, Dimitri Watson, M, 240, Spain, Benidorm, 07:56:06
376, Liv Brooks, F, 236, Italy, Siena, 08:00:56
377, Cashton Kelly, M, 242, USA, Spokane, 08:00:14
378, Kenna Sanders, F, 238, Mexico, Reynosa, 08:05:05
379, Kylo Price, M, 244, UK, Colchester, 08:04:23
380, Jream Bennett, F, 240, Canada, Saint-Georges, 08:09:15
381, Jakobe Wood, M, 246, Germany, Gottingen, 08:08:33
382, Dalary Barnes, F, 242, France, Levallois-Perret, 08:13:26
383, Axton Ross, M, 248, Australia, Rockhampton, 08:12:44
384, Ellarose Henderson, F, 244, Spain, Torrevieja, 08:17:38
385, Brailen Coleman, M, 250, Italy, Novara, 08:16:56
386, Jaylani Jenkins, F, 246, USA, Garland, 08:21:51
387, Tripp Perry, M, 252, Mexico, Matamoros, 08:21:09
388, Kamila Long, M, 248, UK, Eastbourne, 08:26:05
389, Cru Patterson, M, 254, Canada, Sarnia, 08:25:23
390, Anaiya Hughes, F, 250, Germany, Paderborn, 08:30:20
391, Edric Flores, M, 256, France, Cergy, 08:29:38
392, Kamryn Washington, F, 252, Australia, Morwell, 08:34:36
393, Trey Butler, M, 258, Spain, Ferrol, 08:33:54
394, Mikaela Simmons, F, 254, Italy, Monza, 08:38:53
395, Eliezer Foster, M, 260, USA, Hialeah, 08:38:11
396, Malayah Gonzales, F, 256, Mexico, Juarez, 08:43:11
397, Koa Bryant, M, 262, UK, Rotherham, 08:42:29
398, Sahar Alexander, F, 258, Canada, Port Coquitlam, 08:47:30
399, Karsyn Russell, M, 264, Germany, Wolfsburg, 08:46:48
400, Micaela Griffin, F, 260, France, Asnieres-sur-Seine, 08:51:50
401, Yadiel Diaz, M, 266, Australia, Goulburn, 08:51:08
402, Aislinn Hayes, F, 262, Spain, Gandia, 08:56:11
403, Bodhi Ford, M, 268, Italy, Giugliano, 08:55:29
404, Azalea Hamilton, F, 264, USA, Reno, 09:00:33
405, Ulises Graham, M, 270, Mexico, Uruapan, 08:59:51
406, Daleyza Sullivan, F, 266, UK, St Helens, 09:04:56
407, Zev Wallace, M, 272, Canada, Midland, 09:04:14
408, Royalty Woods, F, 268, Germany, Ulm, 09:09:20
409, Maverick Cole, M, 274, France, Nanterre, 09:08:38
410, Emberlynn Murray, F, 270, Australia, Bunbury, 09:13:45
411, Youssef Freeman, M, 276, Spain, Elche, 09:13:03
412, Azaria Wells, F, 272, Italy, Bergamo, 09:18:11
413, Kace Webb, M, 278, USA, Henderson, 09:17:29
414, Promise Simpson, F, 274, Mexico, Tehuacan, 09:22:38
415, Andres Tucker, M, 280, UK, Halifax, 09:21:56
416, Joslyn Porter, F, 276, Canada, Owen Sound, 09:27:06
417, Korbin Hicks, M, 282, Germany, Ingolstadt, 09:26:24
418, Aubree Crawford, F, 278, France, Antony, 09:31:35
419, Kylian Henry, M, 284, Australia, Bathurst, 09:30:53
420, Jream Boyd, M, 280, Spain, Lorca, 09:36:05
421, Zayd Mason, M, 286, Italy, Sassari, 09:35:23
422, Kolbie Morales, F, 282, USA, Plano, 09:40:36
423, Eliel Kennedy, M, 288, Mexico, Los Mochis, 09:39:54
424, Amaia Butler, F, 284, UK, Cambridge, 09:45:08
425, Lucca Bell, M, 290, Canada, Truro, 09:44:26
426, Lainey Dixon, F, 286, Germany, Potsdam, 09:49:41
427, Tatum Fisher, M, 292, France, Clamart, 09:48:59
428, Lylah Reyes, F, 288, Australia, Lismore, 09:54:15
429, Kannon Ellis, M, 294, Spain, Marbella, 09:53:33
430, Leyla Edwards, F, 290, Italy, Arezzo, 09:58:50
431, Rayan Collins, M, 296, USA, Newark, 09:58:08
432, Milani Richardson, F, 292, Mexico, Monclova, 10:03:26
433, Nikolas Stewart, M, 298, UK, Crawley, 10:02:44
434, Zaniyah Morris, F, 294, Canada, Portage la Prairie, 10:08:03
435, Elian Rogers, M, 300, Germany, Bottrop, 10:07:21
436, Maleah Reed, M, 296, France, Sevres, 10:12:41
437, Ayan Cook, M, 302, Australia, Gladstone, 10:11:59
438, Meadow Morgan, F, 298, Spain, Palencia, 10:17:20
439, Ezra Bell, M, 304, Italy, Pordenone, 10:16:38
